original_index,frame.time_epoch,frame.len,direction,time_interval,protocol_type,payload,label,cluster
0,1556245477.422736,342,0,0.0,dhcp,,192.168.20.105_68_192.168.20.254_67_17,0
2,1556235564.335955,342,0,0.0,dhcp,,192.168.20.105_68_192.168.20.254_67_17,0
4,1556251185.422329,342,0,0.0,dhcp,,192.168.20.105_68_192.168.20.254_67_17,0
6,1556238568.050277,342,0,0.0,dhcp,,192.168.20.105_68_192.168.20.254_67_17,0
8,1556255691.744499,342,0,0.0,dhcp,,192.168.20.105_68_192.168.20.254_67_17,0
10,1556243074.040101,342,0,0.0,dhcp,,192.168.20.105_68_192.168.20.254_67_17,0
12,1556234963.581914,342,0,0.0,dhcp,,192.168.20.105_68_192.168.20.254_67_17,0
14,1556247279.934166,342,0,0.0,dhcp,,192.168.20.105_68_192.168.20.254_67_17,0
16,1556237967.292506,342,0,0.0,dhcp,,192.168.20.105_68_192.168.20.254_67_17,0
18,1556243674.87651,342,0,0.0,dhcp,,192.168.20.105_68_192.168.20.254_67_17,0
20,1556259897.633659,342,0,0.0,dhcp,,192.168.20.105_68_192.168.20.254_67_17,0
22,1556238868.376655,342,0,0.0,dhcp,,192.168.20.105_68_192.168.20.254_67_17,0
24,1556253889.232875,342,0,0.0,dhcp,,192.168.20.105_68_192.168.20.254_67_17,0
26,1556238267.644762,342,0,0.0,dhcp,,192.168.20.105_68_192.168.20.254_67_17,0
28,1556246979.515713,342,0,0.0,dhcp,,192.168.20.105_68_192.168.20.254_67_17,0
30,1556252086.665765,342,0,0.0,dhcp,,192.168.20.105_68_192.168.20.254_67_17,0
32,1556249382.898568,342,0,0.0,dhcp,,192.168.20.105_68_192.168.20.254_67_17,0
34,1556241872.375359,342,0,0.0,dhcp,,192.168.20.105_68_192.168.20.254_67_17,0
36,1556250584.596191,342,0,0.0,dhcp,,192.168.20.105_68_192.168.20.254_67_17,0
38,1556232860.956209,342,0,0.0,dhcp,,192.168.20.105_68_192.168.20.254_67_17,0
40,1556244275.713658,342,0,0.0,dhcp,,192.168.20.105_68_192.168.20.254_67_17,0
42,1556245177.007383,342,0,0.0,dhcp,,192.168.20.105_68_192.168.20.254_67_17,0
44,1556230157.082835,342,0,0.0,dhcp,,192.168.20.105_68_192.168.20.254_67_17,0
46,1556244576.153389,342,0,0.0,dhcp,,192.168.20.105_68_192.168.20.254_67_17,0
48,1556257794.671618,342,0,0.0,dhcp,,192.168.20.105_68_192.168.20.254_67_17,0
50,1556242473.229811,342,0,0.0,dhcp,,192.168.20.105_68_192.168.20.254_67_17,0
52,1556246679.093216,342,0,0.0,dhcp,,192.168.20.105_68_192.168.20.254_67_17,0
54,1556249683.318241,342,0,0.0,dhcp,,192.168.20.105_68_192.168.20.254_67_17,0
56,1556229856.663467,342,0,0.0,dhcp,,192.168.20.105_68_192.168.20.254_67_17,0
58,1556249082.45972,342,0,0.0,dhcp,,192.168.20.105_68_192.168.20.254_67_17,0
60,1556243374.470569,342,0,0.0,dhcp,,192.168.20.105_68_192.168.20.254_67_17,0
62,1556260798.856538,342,0,0.0,dhcp,,192.168.20.105_68_192.168.20.254_67_17,0
64,1556231959.686557,342,0,0.0,dhcp,,192.168.20.105_68_192.168.20.254_67_17,0
66,1556233762.192632,342,0,0.0,dhcp,,192.168.20.105_68_192.168.20.254_67_17,0
68,1556231058.404124,342,0,0.0,dhcp,,192.168.20.105_68_192.168.20.254_67_17,0
70,1556242172.815177,342,0,0.0,dhcp,,192.168.20.105_68_192.168.20.254_67_17,0
72,1556258395.523995,342,0,0.0,dhcp,,192.168.20.105_68_192.168.20.254_67_17,0
74,1556247880.776056,342,0,0.0,dhcp,,192.168.20.105_68_192.168.20.254_67_17,0
76,1556230457.517228,342,0,0.0,dhcp,,192.168.20.105_68_192.168.20.254_67_17,0
78,1556234663.27627,342,0,0.0,dhcp,,192.168.20.105_68_192.168.20.254_67_17,0
80,1556253588.797535,342,0,0.0,dhcp,,192.168.20.105_68_192.168.20.254_67_17,0
82,1556246378.676578,342,0,0.0,dhcp,,192.168.20.105_68_192.168.20.254_67_17,0
84,1556250885.000591,342,0,0.0,dhcp,,192.168.20.105_68_192.168.20.254_67_17,0
86,1556260198.069692,342,0,0.0,dhcp,,192.168.20.105_68_192.168.20.254_67_17,0
88,1556231659.2648,342,0,0.0,dhcp,,192.168.20.105_68_192.168.20.254_67_17,0
90,1556257193.819892,342,0,0.0,dhcp,,192.168.20.105_68_192.168.20.254_67_17,0
92,1556231358.831251,342,0,0.0,dhcp,,192.168.20.105_68_192.168.20.254_67_17,0
94,1556237666.956404,342,0,0.0,dhcp,,192.168.20.105_68_192.168.20.254_67_17,0
96,1556259296.805422,342,0,0.0,dhcp,,192.168.20.105_68_192.168.20.254_67_17,0
98,1556261399.703793,342,0,0.0,dhcp,,192.168.20.105_68_192.168.20.254_67_17,0
