设备,mac地址,会话文件,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
allure-speaker,b0:f1:ec:d4:26:ae,192.168.20.132_5353_224.0.0.251_5353_17_____49.csv,"267,1,0.0,udp","267,1,0.0006501674652099,udp","267,1,1.0025198459625244,udp","267,1,0.0006630420684814,udp",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
firetv,cc:f7:35:25:af:4d,0.0.0.0_68_255.255.255.255_67_17_____289.csv,"346,1,0.0,dhcp","346,1,0.0003211498260498,dhcp","346,1,0.0012228488922119,dhcp",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,192.168.20.109_42399_52.119.196.66_443_6_____221.csv,"295,1,0.0,tcp","146,-1,0.0778930187225341,tcp",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,192.168.20.109_68_192.168.20.254_67_17_____289.csv,"343,-1,0.0,dhcp",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,192.168.20.109_60000_239.255.255.250_1900_17_____903.csv,"353,1,0.0,udp","353,1,0.0003509521484375,udp","362,1,0.0011801719665527,udp","362,1,0.0003108978271484,udp","399,1,0.0014870166778564,udp","399,1,0.000288963317871,udp","401,1,5.793571472167969e-05,udp","401,1,7.915496826171875e-05,udp","355,1,0.0019998550415039,udp","364,1,7.390975952148438e-05,udp","401,1,2.5033950805664062e-05,udp","403,1,0.0002961158752441,udp","355,1,0.0003430843353271,udp","364,1,7.605552673339844e-05,udp","401,1,2.5987625122070312e-05,udp","403,1,0.0017848014831542,udp","353,1,0.1745169162750244,udp","353,1,0.0003609657287597,udp","362,1,0.0010361671447753,udp","362,1,0.0003159046173095,udp","399,1,0.0041849613189697,udp","401,1,0.0010559558868408,udp","355,1,6.818771362304688e-05,udp","364,1,1.7881393432617188e-05,udp","401,1,1.5974044799804688e-05,udp","403,1,1.5020370483398438e-05,udp","399,1,0.0003550052642822,udp","401,1,0.0002679824829101,udp","355,1,7.009506225585938e-05,udp","364,1,2.694129943847656e-05,udp","401,1,2.408027648925781e-05,udp","403,1,2.384185791015625e-05,udp","353,1,0.1688020229339599,udp","353,1,0.0003120899200439,udp","362,1,0.0044589042663574,udp","362,1,0.0003461837768554,udp","399,1,0.0167348384857177,udp","401,1,7.200241088867188e-05,udp","355,1,2.813339233398437e-05,udp","364,1,2.193450927734375e-05,udp","401,1,3.0994415283203125e-05,udp","403,1,1.9073486328125e-05,udp","399,1,0.0003218650817871,udp","401,1,9.012222290039062e-05,udp","355,1,2.694129943847656e-05,udp","364,1,2.408027648925781e-05,udp","401,1,2.384185791015625e-05,udp","403,1,2.312660217285156e-05,udp"
google-home,54:60:09:6f:32:84,192.168.20.114_45169_64.233.167.188_5228_6_____45.csv,"92,1,10.712985038757324,tcp","92,-1,0.041658878326416,tcp",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,192.168.20.114_45170_64.233.167.188_5228_6_____120.csv,"93,1,0.0,tcp","93,-1,0.0158171653747558,tcp",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,192.168.20.114_68_192.168.20.254_67_17_____300.csv,"393,1,0.0,udp","343,-1,0.1175830364227294,udp",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
google-home-mini,20:df:b9:13:e5:2e,192.168.20.142_68_192.168.20.254_67_17_____300.csv,"398,1,0.0,dhcp","343,-1,0.1037139892578125,dhcp",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,108.177.15.188_443_192.168.20.142_51958_6_____120.csv,"92,1,0.0,tcp","92,-1,0.0088341236114501,tcp",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,108.177.15.188_443_192.168.20.142_51959_6_____45.csv,"91,1,10.731318950653076,tcp","91,-1,0.0001609325408935,tcp",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
honeywell-thermostat,b8:2c:a0:28:3e:6b,192.168.20.103_68_192.168.20.254_67_17_____298.csv,"354,1,0.0,dhcp","342,-1,0.2132718563079834,dhcp",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
