original_index,frame.time_epoch,frame.len,direction,time_interval,protocol_type,payload,label,cluster
0,1556249631.519199,135,0,0.0011417865753173,tcp,1703030040fa4eb307db1b77948ec1bdacef3f1de13ed5381205fb80c9e9d5a3e9c4d0e444275435ee0fd23bb47fa28350d33061ff4f2b88730ec8ec33588189d6b57eabb1,192.168.20.105_36776_3.121.70.57_443_6,0
1,1556249631.56679,135,0,0.0341629981994628,tcp,1703030040887fc8799fa2458468015495dcf15588344dd2a92963533e9efb1752e4fcda713d700b3c0463e682512670d267b3ad64c5830521874af8b13fcdf0f3e252368c,192.168.20.105_36776_3.121.70.57_443_6,0
2,1556245161.586012,135,0,0.0,tcp,1703030040b7342bdfcab63b0e3a44cceebcc66dc5d8bffa05ab09187f1be5ecb69568fd3cb3730f5beb58d3bac9ef10a95e4933685429f98037d60d2d9c5a23260c22af8f,192.168.20.105_36776_3.121.70.57_443_6,0
3,1556245161.642266,135,0,0.0012059211730957,tcp,1703030040b870d82c320b971e300155bc4778430097756b1ed1f3b93e21117154c5a6b081e344a04e478e7317a24a2565d21ffb84312e9cc48f54f8f55fbadcc02437ac19,192.168.20.105_36776_3.121.70.57_443_6,0
4,1556245161.671422,135,0,0.0156679153442382,tcp,1703030040b005f6f4bc9ef0ef9d70fbdc476eb4985d1acf194492ededbd40ca98e7fd3c17024adb5c487e2d92c4017be6bf31e117bd18459024cb01fcab7c200e551fa79d,192.168.20.105_36776_3.121.70.57_443_6,0
5,1556229771.488885,135,0,0.0,tcp,17030300406094d10ac05cc435eedeb98539fb73595a4d18b43022fefb9c31f24afc711d6527c155efc2ca3a7adae7a6a87f023a5ab0073b0087fdc0a874c02160a9be7a9c,192.168.20.105_36776_3.121.70.57_443_6,0
6,1556229771.503493,135,0,0.0010609626770019,tcp,1703030040f28cc96145e5bbd26c6ec086ac96d179691e8f04b8a15b64a7314a05b8e7f78231a858f7b845f3f05936531ffa4bbcc9695bf3409b5d90ba869aae894a539146,192.168.20.105_36776_3.121.70.57_443_6,0
7,1556229771.579826,135,0,0.0629410743713378,tcp,1703030040afc7cd76d1c677f47fb81e08145865bda71711fe47078277f6975ae7950dfff2c0aa4a65268032cfb5c56816bcd8fbf8376d877529f4bc6a83659a691e82ff40,192.168.20.105_36776_3.121.70.57_443_6,0
8,1556229801.445098,135,0,29.86388182640076,tcp,1703030040dc938124e7072c10a183098b946f8fae63a0eeb9943dc5a8823d517dc2ba27a6a67637badf565aca0804be27fc1401747a4cc39f21db8f0f63c2d2a441b801d1,192.168.20.105_36776_3.121.70.57_443_6,0
9,1556229801.459674,135,0,0.0010578632354736,tcp,170303004042d0f64b1287554dccfea6357101493e96670f48fdccc4045677d29c809d8b4c4dd1d4688c946b926071130e81e8c71b8ea55c0e80b605dbb45648185c914816,192.168.20.105_36776_3.121.70.57_443_6,0
10,1556259891.642883,135,0,0.0,tcp,170303004050647a1b972eaed40c68c3c45414332cf5b0c9cca133a4bc443d96fcaba46c13fbf4007cd573eb614c18357c66fd38fbbfcb24a089d604dcea5cc47576f84980,192.168.20.105_36776_3.121.70.57_443_6,0
11,1556259891.698717,135,0,0.001500129699707,tcp,17030300401e16d5600e9bef2fa5f793fb425e273d31c5913e7018feac2ee189a3d579efb04afd91e241fa4f57a108195015d13d3731943842e43c18692fbd602d471f7f15,192.168.20.105_36776_3.121.70.57_443_6,0
12,1556259892.078834,135,0,0.3665871620178222,tcp,1703030040068409e6142ae610afdff521ac343036e20d9682bee921ac2eefd5d8819415cd75b4149f2b301c67c9b872ba3084d24dc26526642548e986e8cf26702f3ec01e,192.168.20.105_36776_3.121.70.57_443_6,0
